,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
3056,13-26-7215-46,13-043,7,273,cooperacion mesoamericana para el desarrollo y la paz comadep,cabecera municipal,,aracely figueroa urbina,,0,2,2,CERRADA TEMPORALMENTE,0,0,1,HUEHUETENANGO
3057,13-27-0052-46,13-049,7,2,instituto privado aguacateco camino al progreso,2a. av. 2-31 zona 3,['30911951'],iliana argentina villatoro funes de agustin,isabel batan hernandez,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3058,13-27-0053-46,13-049,7,2,instituto municipal de educacion diversificada climentoro,aldea climentoro,['45351827'],iliana argentina villatoro funes de agustin,manuel ixcoy garcia,0,1,0,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3059,13-27-0058-46,13-049,7,2,instituto nacional de educacion diversificada,aldea climentoro,['50411035'],iliana argentina villatoro funes de agustin,julio cesar rodriguez mendoza,0,2,0,ABIERTA,0,5,1,HUEHUETENANGO
3060,13-27-0063-46,13-048,7,2,colegio mixto maya aguacateco,3a. calle 7-42 zona 1,['77660095'],carlos vicente cardona martinez,claudia maraa mejaa alcan,0,3,2,ABIERTA,1,5,1,HUEHUETENANGO
3061,13-27-0066-46,13-049,7,2,instituto mayance aguacateco,4ta calle 3-35 zona 3,['77660002'],iliana argentina villatoro funes de agustin,mariano rodraguez alcan,0,3,2,ABIERTA,0,5,1,HUEHUETENANGO
3062,13-27-0067-46,13-049,7,2,instituto nacional de educacian diversificada,aldea cantzela,['40102428'],iliana argentina villatoro funes de agustin,deisy hortencia mendoza siman,0,2,0,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3063,13-27-0068-46,13-049,7,2,colegio privado el nuevo millenium,"3a. avenida 3-01, zona 1",['77568072'],iliana argentina villatoro funes de agustin,martin eleonor de lean vasquez,0,3,2,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3064,13-27-0076-46,13-048,7,2,instituto nacional de educacian diversificada,5a. avenida 6-91 zona 1,['40102428'],carlos vicente cardona martinez,deisy hortencia mendoza siman,0,2,2,ABIERTA,1,5,1,HUEHUETENANGO
3065,13-27-0079-46,13-060,7,2,centro de educacian extraescolar ceex,cabecera municipal aguacatan,['41464223'],aroldo hosberi sosa lapez,guillermo waldemar garcaa carrillo,0,3,2,ABIERTA,1,0,4,HUEHUETENANGO
